"vessel_id","time_stamp","lon","lat"
"402","AR001","2017-05-19 13:31:28",-4.27647791099711,58.2977004355077
"403","AR001","2017-05-19 13:32:28",-4.27964902751688,58.2982975299599
"404","AR001","2017-05-19 13:33:28",-4.28276875314008,58.2983201729733
"405","AR001","2017-05-19 13:34:28",-4.28497105585589,58.2984507698139
"406","AR001","2017-05-19 13:35:28",-4.28536738464107,58.2982761169862
"407","AR001","2017-05-19 13:36:28",-4.28511874819788,58.2978654140496
"408","AR001","2017-05-19 13:37:28",-4.28514498241573,58.2978831157198
"409","AR001","2017-05-19 13:38:28",-4.28509591144734,58.2976590427256
"410","AR001","2017-05-19 13:39:28",-4.28506487286043,58.2974617364498
"411","AR001","2017-05-19 13:40:28",-4.285020516001,58.2972735466267
"412","AR001","2017-05-19 13:41:28",-4.28486774874393,58.2972481335796
"413","AR001","2017-05-19 13:42:28",-4.28480439761359,58.2971948741666
"414","AR001","2017-05-19 13:43:28",-4.28471205301166,58.2971419059776
"415","AR001","2017-05-19 13:44:28",-4.28465535601317,58.2969897705693
"416","AR001","2017-05-19 13:45:28",-4.28466598165488,58.2967650977386
"417","AR001","2017-05-19 13:46:28",-4.28470138162322,58.2966120371865
"418","AR001","2017-05-19 13:47:28",-4.28470104477113,58.2964144223941
"419","AR001","2017-05-19 13:48:28",-4.28470338958949,58.2962437285914
"420","AR001","2017-05-19 13:49:28",-4.28472010732684,58.2960459424645
"421","AR001","2017-05-19 13:50:28",-4.28477060843154,58.2958388342963
"422","AR001","2017-05-19 13:51:28",-4.28483069074351,58.2956136645484
"423","AR001","2017-05-19 13:52:28",-4.28489922118503,58.2954333231111
"424","AR001","2017-05-19 13:53:28",-4.28486883666195,58.295253975462
"425","AR001","2017-05-19 13:54:28",-4.28484973949327,58.2950565491078
"426","AR001","2017-05-19 13:55:28",-4.284884564494,58.2948406156988
"427","AR001","2017-05-19 13:56:28",-4.2849306759417,58.2946066035754
"428","AR001","2017-05-19 13:57:28",-4.28503411868043,58.2943540500517
"429","AR001","2017-05-19 13:58:28",-4.28521340268749,58.2940288730654
"430","AR001","2017-05-19 13:59:28",-4.28550337575948,58.2937924096633
"431","AR001","2017-05-19 14:00:28",-4.2855978210764,58.2938094255446
"432","AR001","2017-05-19 14:01:28",-4.28572352009703,58.2937003700431
"433","AR001","2017-05-19 14:02:28",-4.28582526650763,58.2936364685013
"434","AR001","2017-05-19 14:03:28",-4.28604337800285,58.2935354661064
"435","AR001","2017-05-19 14:04:28",-4.28627352170229,58.2935780647216
"436","AR001","2017-05-19 14:05:28",-4.28609425186047,58.293103787244
"437","AR001","2017-05-19 14:06:28",-4.2857626151858,58.2931789832676
"438","AR001","2017-05-19 14:07:28",-4.28565349109171,58.2933687160454
"439","AR001","2017-05-19 14:08:28",-4.28562662495579,58.293521691189
"440","AR001","2017-05-19 14:09:28",-4.28503095534242,58.2932312507696
"441","AR001","2017-05-19 14:10:28",-4.28502145242189,58.2932043983124
"442","AR001","2017-05-19 14:11:28",-4.28521496031633,58.293130592499
"443","AR001","2017-05-19 14:12:28",-4.28548562494463,58.293208715869
"444","AR001","2017-05-19 14:13:28",-4.28547385814316,58.2933076432998
"445","AR001","2017-05-19 14:14:28",-4.2854099547802,58.2933801468415
"446","AR001","2017-05-19 14:15:28",-4.28539590896577,58.2934162186214
"447","AR001","2017-05-19 14:16:28",-4.28527402391129,58.2934893048762
"448","AR001","2017-05-19 14:17:28",-4.28514175038665,58.293652321899
"449","AR001","2017-05-19 14:18:28",-4.28505689998187,58.2938058795931
"450","AR001","2017-05-19 14:19:28",-4.28492112290344,58.2938252092006
"451","AR001","2017-05-19 14:20:28",-4.2847717813057,58.2937997616987
"452","AR001","2017-05-19 14:21:28",-4.28467969246773,58.2938006868332
"453","AR001","2017-05-19 14:22:28",-4.284589880977,58.29386446756
"454","AR001","2017-05-19 14:23:28",-4.28447757423746,58.2939194915211
"455","AR001","2017-05-19 14:24:28",-4.28434878515779,58.2940375594466
"456","AR001","2017-05-19 14:25:28",-4.28421763936531,58.2941376856078
"457","AR001","2017-05-19 14:26:28",-4.28405401145707,58.29428305101
"458","AR001","2017-05-19 14:27:28",-4.28388486135599,58.2944644022146
"459","AR001","2017-05-19 14:28:28",-4.28386671435952,58.2956592761852
"460","AR001","2017-05-19 14:29:28",-4.28432019002546,58.2971099112305
"461","AR001","2017-05-19 14:30:28",-4.28512491932823,58.2978473867526
"462","AR001","2017-05-19 14:31:28",-4.28523721476412,58.2964270004888
"463","AR001","2017-05-19 14:32:28",-4.28546846190526,58.2948527131452
"464","AR001","2017-05-19 14:33:28",-4.28577196430012,58.2932956637242
"465","AR001","2017-05-19 14:34:28",-4.28612042884102,58.2917561261669
"466","AR001","2017-05-19 14:35:28",-4.28574101882416,58.2904664394041
"467","AR001","2017-05-19 14:36:28",-4.28402094739047,58.2919568771974
"468","AR001","2017-05-19 14:37:28",-4.28262710064379,58.2938392554636
"469","AR001","2017-05-19 14:38:28",-4.28147552201859,58.2957730855495
"470","AR001","2017-05-19 14:39:28",-4.28009365550362,58.2976642959517
"471","AR001","2017-05-19 14:40:28",-4.27928951100881,58.2979328386525
"472","AR001","2017-05-19 14:41:28",-4.27940265699721,58.2978059499398
"473","AR001","2017-05-19 14:42:28",-4.27954244258868,58.2976608293267
"474","AR001","2017-05-19 14:43:28",-4.2797544928699,58.2977215860572
"475","AR001","2017-05-19 14:44:28",-4.27971330553275,58.2978567377155
"476","AR001","2017-05-19 14:45:28",-4.27966156042446,58.2979830123603
"477","AR001","2017-05-19 14:46:28",-4.2795316833232,58.2981190513263
"478","AR001","2017-05-19 14:47:28",-4.27946832232917,58.2982544247283
"479","AR001","2017-05-19 14:48:28",-4.27936711417671,58.298381194065
"480","AR001","2017-05-19 14:49:28",-4.27927695753674,58.2984359917049
"481","AR001","2017-05-19 14:50:28",-4.27923114564962,58.298490345737
"482","AR001","2017-05-19 14:51:28",-4.27928604820007,58.2984987792064
"483","AR001","2017-05-19 14:52:28",-4.27940153311018,58.2985784676895
"484","AR001","2017-05-19 14:53:28",-4.27950052585602,58.2987211994986
"485","AR001","2017-05-19 14:54:28",-4.27953470676304,58.2988645796667
"486","AR001","2017-05-19 14:55:28",-4.27957327155465,58.2990348638631
"487","AR001","2017-05-19 14:56:28",-4.27961557209707,58.2992140933016
"488","AR001","2017-05-19 14:57:28",-4.27964560957601,58.2993844627887
"489","AR001","2017-05-19 14:58:28",-4.27964153477419,58.2995551735753
"490","AR001","2017-05-19 14:59:28",-4.27969512743907,58.2997163247336
"491","AR001","2017-05-19 15:00:28",-4.27975075043298,58.299886438185
"492","AR001","2017-05-19 15:01:28",-4.27979987556157,58.300065599264
"493","AR001","2017-05-19 15:02:28",-4.27978118357691,58.3002095084119
"494","AR001","2017-05-19 15:03:28",-4.27981325263903,58.3003888401473
"495","AR001","2017-05-19 15:04:28",-4.27980138326027,58.30053268102
"496","AR001","2017-05-19 15:05:28",-4.2797642527504,58.3006857572865
"497","AR001","2017-05-19 15:06:28",-4.27970974083194,58.3008300248193
"498","AR001","2017-05-19 15:07:28",-4.27971769089129,58.3009557021029
"499","AR001","2017-05-19 15:08:28",-4.27974391014455,58.3011620402599
"500","AR001","2017-05-19 15:09:28",-4.27960858057247,58.3012891510956
"501","AR001","2017-05-19 15:10:28",-4.2795848549701,58.3013881973909
"502","AR001","2017-05-19 15:11:28",-4.27956657056623,58.3014961718733
"503","AR001","2017-05-19 15:12:28",-4.27951246577338,58.3016045047012
"504","AR001","2017-05-19 15:13:28",-4.27942392186605,58.301704199381
"505","AR001","2017-05-19 15:14:28",-4.2792855869828,58.3017954093925
"506","AR001","2017-05-19 15:15:28",-4.27913775050839,58.301859766389
"507","AR001","2017-05-19 15:16:28",-4.2789742377885,58.3019152973411
"508","AR001","2017-05-19 15:17:28",-4.27880746529785,58.3020696695778
"509","AR001","2017-05-19 15:18:28",-4.27870453831215,58.3021964554213
"510","AR001","2017-05-19 15:19:28",-4.27858967025465,58.3023233605458
"511","AR001","2017-05-19 15:20:28",-4.27847650714857,58.3024502485175
"512","AR001","2017-05-19 15:21:28",-4.27797991528117,58.3022126804372
"513","AR001","2017-05-19 15:22:28",-4.27878223514875,58.3009920064348
"514","AR001","2017-05-19 15:23:28",-4.27975125868592,58.2996169541319
"515","AR001","2017-05-19 15:24:28",-4.28061275707325,58.2982429704495
"516","AR001","2017-05-19 15:25:28",-4.28088742320216,58.296731136851
"517","AR001","2017-05-19 15:26:28",-4.27861082224359,58.2953885574483
"518","AR001","2017-05-19 15:27:28",-4.27617394485495,58.2939487288574
"519","AR001","2017-05-19 15:28:28",-4.27368099084016,58.2925094132678
"520","AR001","2017-05-19 15:29:28",-4.27119335502407,58.2910699971425
"521","AR001","2017-05-19 15:30:28",-4.26868748580855,58.2896396970796
"522","AR001","2017-05-19 15:31:28",-4.26621933087665,58.2882089753843
"523","AR001","2017-05-19 15:32:28",-4.26376672044908,58.2867780533238
"524","AR001","2017-05-19 15:33:28",-4.26134031002301,58.285310896173
"525","AR001","2017-05-19 15:34:28",-4.25896631458715,58.2838252125453
"526","AR001","2017-05-19 15:35:28",-4.25655905812616,58.2823577778385
"527","AR001","2017-05-19 15:36:28",-4.25415263597613,58.2809082557419
"528","AR001","2017-05-19 15:37:28",-4.25179414174221,58.2794582199716
"529","AR001","2017-05-19 15:38:28",-4.24944979366304,58.278016985906
"530","AR001","2017-05-19 15:39:28",-4.24713833826693,58.2765843714329
"531","AR001","2017-05-19 15:40:28",-4.24485478570386,58.2751155138355
"532","AR001","2017-05-19 15:41:28",-4.24259774962902,58.2736194106886
"533","AR001","2017-05-19 15:42:28",-4.24026299730196,58.2721869007818
"534","AR001","2017-05-19 15:43:28",-4.23795090245263,58.2707631122404
"535","AR001","2017-05-19 15:44:28",-4.23567725209694,58.2693119632424
"536","AR001","2017-05-19 15:45:28",-4.23343105409692,58.2678605097003
"537","AR001","2017-05-19 15:46:28",-4.23087136177969,58.2665557582659
"538","AR001","2017-05-19 15:47:28",-4.22833741781162,58.2652507089949
"539","AR001","2017-05-19 15:48:28",-4.22572667218077,58.2639373642594
"540","AR001","2017-05-19 15:49:28",-4.22305369444505,58.2626425277776
"541","AR001","2017-05-19 15:50:28",-4.22044333595214,58.2613290731841
"542","AR001","2017-05-19 15:51:28",-4.21801750444757,58.259923981833
"543","AR001","2017-05-19 15:52:28",-4.2158006637894,58.2584449966138
"544","AR001","2017-05-19 15:53:28",-4.21368466005071,58.2570189116644
"545","AR001","2017-05-19 15:54:28",-4.21152160490664,58.2555573080641
"546","AR001","2017-05-19 15:55:28",-4.20927945017658,58.2540694693177
"547","AR001","2017-05-19 15:56:28",-4.20696685556386,58.2526092050511
"548","AR001","2017-05-19 15:57:28",-4.20462780688628,58.2511671142598
"549","AR001","2017-05-19 15:58:28",-4.20229515355185,58.2497069561058
"550","AR001","2017-05-19 15:59:28",-4.19991901532376,58.2482651296608
"551","AR001","2017-05-19 16:00:28",-4.19751192126698,58.2468594802576
"552","AR001","2017-05-19 16:01:28",-4.19507636749185,58.2454630350672
"553","AR001","2017-05-19 16:02:28",-4.1926642446427,58.244048360401
